value,label
"nue
","nue
 Nucor Corp. materials steel SP500"
"nvda
","nvda
 Nvidia Corporation information technology semiconductors SP500"
"nvr
","nvr
 NVR Inc consumer discretionary homebuilding SP500"
"orly
","orly
 O'Reilly Automotive consumer discretionary specialty stores SP500"
"oxy
","oxy
 Occidental Petroleum energy oil & gas exploration & production SP500"
"odfl
","odfl
 Old Dominion Freight Line industrials trucking SP500"
"omc
","omc
 Omnicom Group communication services advertising SP500"
"oke
","oke
 ONEOK energy oil & gas storage & transportation SP500"
"orcl
","orcl
 Oracle Corp. information technology application software SP500"
"otis
","otis
 Otis Worldwide industrials industrial machinery SP500"
"pcar
","pcar
 PACCAR Inc. industrials construction machinery & heavy trucks SP500"
"pkg
","pkg
 Packaging Corporation of America materials paper packaging SP500"
"ph
","ph
 Parker-Hannifin industrials industrial machinery SP500"
"payx
","payx
 Paychex Inc. information technology data processing & outsourced services SP500"
"payc
","payc
 Paycom information technology application software SP500"
"pypl
","pypl
 PayPal information technology data processing & outsourced services SP500"
"pnr
","pnr
 Pentair plc industrials industrial machinery SP500"
"pbct
","pbct
 People's United Financial financials thrifts & mortgage finance SP500"
"pep
","pep
 PepsiCo Inc. consumer staples soft drinks SP500"
"pki
","pki
 PerkinElmer health care health care equipment SP500"
"prgo
","prgo
 Perrigo health care pharmaceuticals SP500"
"pfe
","pfe
 Pfizer Inc. health care pharmaceuticals SP500"
"pm
","pm
 Philip Morris International consumer staples tobacco SP500"
"psx
","psx
 Phillips 66 energy oil & gas refining & marketing SP500"
"pnw
","pnw
 Pinnacle West Capital utilities multi-utilities SP500"
"pxd
","pxd
 Pioneer Natural Resources energy oil & gas exploration & production SP500"
"pnc
","pnc
 PNC Financial Services financials regional banks SP500"
"ppg
","ppg
 PPG Industries materials specialty chemicals SP500"
"ppl
","ppl
 PPL Corp. utilities electric utilities SP500"
"pfg
","pfg
 Principal Financial Group financials life & health insurance SP500"
"pg
","pg
 Procter & Gamble consumer staples personal products SP500"
"pgr
","pgr
 Progressive Corp. financials property & casualty insurance SP500"
"pld
","pld
 Prologis real estate industrial reits SP500"
"pru
","pru
 Prudential Financial financials life & health insurance SP500"
"peg
","peg
 Public Serv. Enterprise Inc. utilities electric utilities SP500"
"psa
","psa
 Public Storage real estate specialized reits SP500"
"phm
","phm
 PulteGroup consumer discretionary homebuilding SP500"
"pvh
","pvh
 PVH Corp. consumer discretionary apparel, accessories & luxury goods SP500"
"qrvo
","qrvo
 Qorvo information technology semiconductors SP500"
"pwr
","pwr
 Quanta Services Inc. industrials construction & engineering SP500"
"qcom
","qcom
 QUALCOMM Inc. information technology semiconductors SP500"
